recall_segment,story_segment,mi
"So, the dean is just sitting there with cream pie all over his face, and the student at the newspaper says, “Do you care to comment?” and the dean says, “I would like to comment,” and then he says, “Fuck you” to student.",And then I went to the bar to buy a round and I felt a tap on my shoulder.,0
"So, the dean is just sitting there with cream pie all over his face, and the student at the newspaper says, “Do you care to comment?” and the dean says, “I would like to comment,” and then he says, “Fuck you” to student.",And it was her.,0
"So, the dean is just sitting there with cream pie all over his face, and the student at the newspaper says, “Do you care to comment?” and the dean says, “I would like to comment,” and then he says, “Fuck you” to student.","And she said, “Jim, we were just talking about how you always seem to know when and where Pie Man will strike.",0
"So, the dean is just sitting there with cream pie all over his face, and the student at the newspaper says, “Do you care to comment?” and the dean says, “I would like to comment,” and then he says, “Fuck you” to student.","And we were wondering, are you Pie Man?” And I knew by the way she said it, I knew that if I said yes, she would have sex with me.",0
"So, the dean is just sitting there with cream pie all over his face, and the student at the newspaper says, “Do you care to comment?” and the dean says, “I would like to comment,” and then he says, “Fuck you” to student.",And wasn’t I really Pie Man?,0
"So, the dean is just sitting there with cream pie all over his face, and the student at the newspaper says, “Do you care to comment?” and the dean says, “I would like to comment,” and then he says, “Fuck you” to student.",For having brought him into being.,0
"So, the dean is just sitting there with cream pie all over his face, and the student at the newspaper says, “Do you care to comment?” and the dean says, “I would like to comment,” and then he says, “Fuck you” to student.",Didn’t she only know about him through me?,0
"So, the dean is just sitting there with cream pie all over his face, and the student at the newspaper says, “Do you care to comment?” and the dean says, “I would like to comment,” and then he says, “Fuck you” to student.",But she had asked me a straightforward question that came with a straightforward answer.,0
"So, the dean is just sitting there with cream pie all over his face, and the student at the newspaper says, “Do you care to comment?” and the dean says, “I would like to comment,” and then he says, “Fuck you” to student.","In fact, I wasn’t Pie Man.",0
"So, the dean is just sitting there with cream pie all over his face, and the student at the newspaper says, “Do you care to comment?” and the dean says, “I would like to comment,” and then he says, “Fuck you” to student.","As far as I knew, I had never seen the guy out of costume.",0
"So, the dean is just sitting there with cream pie all over his face, and the student at the newspaper says, “Do you care to comment?” and the dean says, “I would like to comment,” and then he says, “Fuck you” to student.","So I looked at her and I said, “Yes, Angela.",0
"So, the dean is just sitting there with cream pie all over his face, and the student at the newspaper says, “Do you care to comment?” and the dean says, “I would like to comment,” and then he says, “Fuck you” to student.","I am Pie Man.” And she said, “Oh, good.",0
"So, the dean is just sitting there with cream pie all over his face, and the student at the newspaper says, “Do you care to comment?” and the dean says, “I would like to comment,” and then he says, “Fuck you” to student.",Now buy me a beer and tell me all about it.”,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","And one day I’m walking toward the campus center and out comes the elusive Dean McGowan, architect of a policy to replace Fordham’s traditionally working- to middle-class students with wealthier, more prestigious ones.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","So I whip out my notebook and I go up to him and I say, “Dean McGowan, is it true that Fordham University plans to raise tuition substantially above the inflation rate, and if so, wouldn’t that be a betrayal of its mission?” And he stops and looks at me and he says, “Listen up, punk.” And right then, there’s a blur in the corner of my eye which becomes this figure holding a cream pie which becomes the guy standing next to me mashing a cream pie into Dean McGowan’s face.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",And then runs away.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",And the Dean is covered with cream.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","So I give him a moment, and then I say, “Dean McGowan, would you care to comment on this latest attack?” And the Dean says, “Yes, I would care to comment.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","Fuck you.” So I race back to the newsroom with my scoop and I find the editor, Jim Dwyer, who’s a senior, and he will go on to win a Pulitzer Prize, that is true, and he’s a big guy.",8
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","I pitch him my story, I tell him what I’ve seen, and he says, “Dean McGowan, that guy’s a dick.",5
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","Write it up.” So I’m banging out my story and I know it’s good, and then I start to make it better, by adding an element of embellishment.",15
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",Reporters call this “making shit up.” And they recommend against crossing that line.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","But I had just seen the line crossed between a high-powered dean and assault with a pastry, and I kind of liked it.",4
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",So the first I did was I gave the figure a name.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","I called him “Pie Man,” capital “P,” capital “M.” And I described him as a cape-wearing, masked avenger.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",Though in fact he’d been capeless.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","And said that as he fled the scene, he clicked his heels in rakish glee.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",And I gave him a catchphrase in Latin.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","I said that he cried out, “Ego sum non an bestia,” which means “I am not an animal.” Which makes no sense.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",I needed something.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","I’m Catholic, Latin just comes to me.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","So I finish my story and I hand it to Dwyer, and he reads and he says, “Pie Man?",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",I love it.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",Page one.” And that’s how the first line got crossed.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","A few days later, I get a letter.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","It says, “Dear Jim, good story.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",Nice details.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","If you want to see me again in action, be on the steps of Duane Library Tuesday at 3 o’clock,” signed Pie Man.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",So I was there with a photographer from the Ram.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","And sure enough, out comes Sheila Beale, student-body president.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",And now Sheila was different from me and all the other Fordham students who wore flannel shirts and worked part-time jobs.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",Sheila was well-bred.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",Sheila had school spirit.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",Sheila was the kind of student that Dean McGown wanted more of.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",Although rumor had it that he got plenty of her in his office on his desk.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","But that’s just a rumor, please do not spread it outside this rumor.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",I myself would never say that.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","But the fact was, Sheila had collaborated with the Dean to ban outdoor drinking on campus.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",The infamous “no more beer at barbecues” rule.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","That’s right, boo that rule.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",Sheila thought drinking in public was in poor taste.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",I think you know what happened next.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","Pie Man emerged from behind the late-night library drop-box, made his delivery, and fled away, crying, “Ego sum non an bestia.” Or at least that’s what it said in my story in the newspaper the next day, which ran with a photo of him leaving the scene, cape flowing behind him, doing this.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",And that’s what made him a sensation on campus.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",People started dressing like him and quoting him in class.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","The Ram ran five major stories about Pie Man, all of them by me.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","And toward the end of this run, I was out at a bar one night, and I saw, I came and I saw in the corner Angela from my Brit Lit class, drinking with some friends.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",And now Angela and I had been flirting for two months.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","Or I had been flirting with her, and with such nuance that there was a question about whether she knew I existed.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","So I, I saw her there and made a mental note to do nothing about it.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",And then I went to the bar to buy a round and I felt a tap on my shoulder.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",And it was her.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","And she said, “Jim, we were just talking about how you always seem to know when and where Pie Man will strike.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","And we were wondering, are you Pie Man?” And I knew by the way she said it, I knew that if I said yes, she would have sex with me.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",And wasn’t I really Pie Man?,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",For having brought him into being.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",Didn’t she only know about him through me?,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",But she had asked me a straightforward question that came with a straightforward answer.,0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","In fact, I wasn’t Pie Man.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","As far as I knew, I had never seen the guy out of costume.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","So I looked at her and I said, “Yes, Angela.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.","I am Pie Man.” And she said, “Oh, good.",0
"So, the reporter kid is super excited because he's like, “Oh my god, what a good story I just saw.",Now buy me a beer and tell me all about it.”,0
I witnessed it.,"I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
I witnessed it.,"And one day I’m walking toward the campus center and out comes the elusive Dean McGowan, architect of a policy to replace Fordham’s traditionally working- to middle-class students with wealthier, more prestigious ones.",0
I witnessed it.,"So I whip out my notebook and I go up to him and I say, “Dean McGowan, is it true that Fordham University plans to raise tuition substantially above the inflation rate, and if so, wouldn’t that be a betrayal of its mission?” And he stops and looks at me and he says, “Listen up, punk.” And right then, there’s a blur in the corner of my eye which becomes this figure holding a cream pie which becomes the guy standing next to me mashing a cream pie into Dean McGowan’s face.",0
I witnessed it.,And then runs away.,0
I witnessed it.,And the Dean is covered with cream.,0
I witnessed it.,"So I give him a moment, and then I say, “Dean McGowan, would you care to comment on this latest attack?” And the Dean says, “Yes, I would care to comment.",0
I witnessed it.,"Fuck you.” So I race back to the newsroom with my scoop and I find the editor, Jim Dwyer, who’s a senior, and he will go on to win a Pulitzer Prize, that is true, and he’s a big guy.",0
I witnessed it.,"I pitch him my story, I tell him what I’ve seen, and he says, “Dean McGowan, that guy’s a dick.",0
I witnessed it.,"Write it up.” So I’m banging out my story and I know it’s good, and then I start to make it better, by adding an element of embellishment.",0
I witnessed it.,Reporters call this “making shit up.” And they recommend against crossing that line.,0
I witnessed it.,"But I had just seen the line crossed between a high-powered dean and assault with a pastry, and I kind of liked it.",0
I witnessed it.,So the first I did was I gave the figure a name.,0
I witnessed it.,"I called him “Pie Man,” capital “P,” capital “M.” And I described him as a cape-wearing, masked avenger.",0
I witnessed it.,Though in fact he’d been capeless.,0
I witnessed it.,"And said that as he fled the scene, he clicked his heels in rakish glee.",0
I witnessed it.,And I gave him a catchphrase in Latin.,0
I witnessed it.,"I said that he cried out, “Ego sum non an bestia,” which means “I am not an animal.” Which makes no sense.",0
I witnessed it.,I needed something.,0
I witnessed it.,"I’m Catholic, Latin just comes to me.",0
I witnessed it.,"So I finish my story and I hand it to Dwyer, and he reads and he says, “Pie Man?",0
I witnessed it.,I love it.,0
I witnessed it.,Page one.” And that’s how the first line got crossed.,0
I witnessed it.,"A few days later, I get a letter.",0
I witnessed it.,"It says, “Dear Jim, good story.",0
I witnessed it.,Nice details.,0
I witnessed it.,"If you want to see me again in action, be on the steps of Duane Library Tuesday at 3 o’clock,” signed Pie Man.",0
I witnessed it.,So I was there with a photographer from the Ram.,0
I witnessed it.,"And sure enough, out comes Sheila Beale, student-body president.",0
I witnessed it.,And now Sheila was different from me and all the other Fordham students who wore flannel shirts and worked part-time jobs.,0
I witnessed it.,Sheila was well-bred.,0
I witnessed it.,Sheila had school spirit.,0
I witnessed it.,Sheila was the kind of student that Dean McGown wanted more of.,0
I witnessed it.,Although rumor had it that he got plenty of her in his office on his desk.,0
I witnessed it.,"But that’s just a rumor, please do not spread it outside this rumor.",0
I witnessed it.,I myself would never say that.,0
I witnessed it.,"But the fact was, Sheila had collaborated with the Dean to ban outdoor drinking on campus.",0
I witnessed it.,The infamous “no more beer at barbecues” rule.,0
I witnessed it.,"That’s right, boo that rule.",0
I witnessed it.,Sheila thought drinking in public was in poor taste.,0
I witnessed it.,I think you know what happened next.,0
I witnessed it.,"Pie Man emerged from behind the late-night library drop-box, made his delivery, and fled away, crying, “Ego sum non an bestia.” Or at least that’s what it said in my story in the newspaper the next day, which ran with a photo of him leaving the scene, cape flowing behind him, doing this.",0
I witnessed it.,And that’s what made him a sensation on campus.,0
I witnessed it.,People started dressing like him and quoting him in class.,0
I witnessed it.,"The Ram ran five major stories about Pie Man, all of them by me.",0
I witnessed it.,"And toward the end of this run, I was out at a bar one night, and I saw, I came and I saw in the corner Angela from my Brit Lit class, drinking with some friends.",0
I witnessed it.,And now Angela and I had been flirting for two months.,0
I witnessed it.,"Or I had been flirting with her, and with such nuance that there was a question about whether she knew I existed.",0
I witnessed it.,"So I, I saw her there and made a mental note to do nothing about it.",0
I witnessed it.,And then I went to the bar to buy a round and I felt a tap on my shoulder.,0
I witnessed it.,And it was her.,0
I witnessed it.,"And she said, “Jim, we were just talking about how you always seem to know when and where Pie Man will strike.",0
I witnessed it.,"And we were wondering, are you Pie Man?” And I knew by the way she said it, I knew that if I said yes, she would have sex with me.",0
I witnessed it.,And wasn’t I really Pie Man?,0
I witnessed it.,For having brought him into being.,0
I witnessed it.,Didn’t she only know about him through me?,0
I witnessed it.,But she had asked me a straightforward question that came with a straightforward answer.,0
I witnessed it.,"In fact, I wasn’t Pie Man.",0
I witnessed it.,"As far as I knew, I had never seen the guy out of costume.",0
I witnessed it.,"So I looked at her and I said, “Yes, Angela.",0
I witnessed it.,"I am Pie Man.” And she said, “Oh, good.",0
I witnessed it.,Now buy me a beer and tell me all about it.”,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","And one day I’m walking toward the campus center and out comes the elusive Dean McGowan, architect of a policy to replace Fordham’s traditionally working- to middle-class students with wealthier, more prestigious ones.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","So I whip out my notebook and I go up to him and I say, “Dean McGowan, is it true that Fordham University plans to raise tuition substantially above the inflation rate, and if so, wouldn’t that be a betrayal of its mission?” And he stops and looks at me and he says, “Listen up, punk.” And right then, there’s a blur in the corner of my eye which becomes this figure holding a cream pie which becomes the guy standing next to me mashing a cream pie into Dean McGowan’s face.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",And then runs away.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",And the Dean is covered with cream.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","So I give him a moment, and then I say, “Dean McGowan, would you care to comment on this latest attack?” And the Dean says, “Yes, I would care to comment.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","Fuck you.” So I race back to the newsroom with my scoop and I find the editor, Jim Dwyer, who’s a senior, and he will go on to win a Pulitzer Prize, that is true, and he’s a big guy.",97
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","I pitch him my story, I tell him what I’ve seen, and he says, “Dean McGowan, that guy’s a dick.",88
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","Write it up.” So I’m banging out my story and I know it’s good, and then I start to make it better, by adding an element of embellishment.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",Reporters call this “making shit up.” And they recommend against crossing that line.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","But I had just seen the line crossed between a high-powered dean and assault with a pastry, and I kind of liked it.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",So the first I did was I gave the figure a name.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","I called him “Pie Man,” capital “P,” capital “M.” And I described him as a cape-wearing, masked avenger.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",Though in fact he’d been capeless.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","And said that as he fled the scene, he clicked his heels in rakish glee.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",And I gave him a catchphrase in Latin.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","I said that he cried out, “Ego sum non an bestia,” which means “I am not an animal.” Which makes no sense.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",I needed something.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","I’m Catholic, Latin just comes to me.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","So I finish my story and I hand it to Dwyer, and he reads and he says, “Pie Man?",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",I love it.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",Page one.” And that’s how the first line got crossed.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","A few days later, I get a letter.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","It says, “Dear Jim, good story.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",Nice details.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","If you want to see me again in action, be on the steps of Duane Library Tuesday at 3 o’clock,” signed Pie Man.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",So I was there with a photographer from the Ram.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","And sure enough, out comes Sheila Beale, student-body president.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",And now Sheila was different from me and all the other Fordham students who wore flannel shirts and worked part-time jobs.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",Sheila was well-bred.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",Sheila had school spirit.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",Sheila was the kind of student that Dean McGown wanted more of.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",Although rumor had it that he got plenty of her in his office on his desk.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","But that’s just a rumor, please do not spread it outside this rumor.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",I myself would never say that.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","But the fact was, Sheila had collaborated with the Dean to ban outdoor drinking on campus.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",The infamous “no more beer at barbecues” rule.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","That’s right, boo that rule.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",Sheila thought drinking in public was in poor taste.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",I think you know what happened next.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","Pie Man emerged from behind the late-night library drop-box, made his delivery, and fled away, crying, “Ego sum non an bestia.” Or at least that’s what it said in my story in the newspaper the next day, which ran with a photo of him leaving the scene, cape flowing behind him, doing this.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",And that’s what made him a sensation on campus.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",People started dressing like him and quoting him in class.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","The Ram ran five major stories about Pie Man, all of them by me.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","And toward the end of this run, I was out at a bar one night, and I saw, I came and I saw in the corner Angela from my Brit Lit class, drinking with some friends.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",And now Angela and I had been flirting for two months.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","Or I had been flirting with her, and with such nuance that there was a question about whether she knew I existed.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","So I, I saw her there and made a mental note to do nothing about it.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",And then I went to the bar to buy a round and I felt a tap on my shoulder.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",And it was her.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","And she said, “Jim, we were just talking about how you always seem to know when and where Pie Man will strike.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","And we were wondering, are you Pie Man?” And I knew by the way she said it, I knew that if I said yes, she would have sex with me.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",And wasn’t I really Pie Man?,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",For having brought him into being.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",Didn’t she only know about him through me?,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",But she had asked me a straightforward question that came with a straightforward answer.,0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","In fact, I wasn’t Pie Man.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","As far as I knew, I had never seen the guy out of costume.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","So I looked at her and I said, “Yes, Angela.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.","I am Pie Man.” And she said, “Oh, good.",0
"This is amazing.” So, he runs back to the editing room and finds the chief editor, who would later go on to win a Pulitzer Prize, and that editor is like, “Yeah, fuck the dean.",Now buy me a beer and tell me all about it.”,0
He’s a dick.,"I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0
He’s a dick.,"And one day I’m walking toward the campus center and out comes the elusive Dean McGowan, architect of a policy to replace Fordham’s traditionally working- to middle-class students with wealthier, more prestigious ones.",0
He’s a dick.,"So I whip out my notebook and I go up to him and I say, “Dean McGowan, is it true that Fordham University plans to raise tuition substantially above the inflation rate, and if so, wouldn’t that be a betrayal of its mission?” And he stops and looks at me and he says, “Listen up, punk.” And right then, there’s a blur in the corner of my eye which becomes this figure holding a cream pie which becomes the guy standing next to me mashing a cream pie into Dean McGowan’s face.",0
He’s a dick.,And then runs away.,0
He’s a dick.,And the Dean is covered with cream.,0
