recall_segment,story_segment,quality_score,summary
"Then the dean basically says, ""Yes, I would like to make a comment: fuck you.""","And I knew by the way she said it, I knew that if I said yes, she would have sex with me.",0,
"Then the dean basically says, ""Yes, I would like to make a comment: fuck you.""",And wasn't I really Pie Man?,0,
"Then the dean basically says, ""Yes, I would like to make a comment: fuck you.""",For having brought him into being.,0,
"Then the dean basically says, ""Yes, I would like to make a comment: fuck you.""",Didn't she only know about him through me?,0,
"Then the dean basically says, ""Yes, I would like to make a comment: fuck you.""",But she had asked me a straightforward question that came with a straightforward answer.,0,
"Then the dean basically says, ""Yes, I would like to make a comment: fuck you.""","In fact, I wasn't Pie Man.",0,
"Then the dean basically says, ""Yes, I would like to make a comment: fuck you.""","As far as I knew, I had never seen the guy out of costume.",0,
"Then the dean basically says, ""Yes, I would like to make a comment: fuck you.""","So I looked at her and I said, ""Yes, Angela. I am Pie Man.""",0,
"Then the dean basically says, ""Yes, I would like to make a comment: fuck you.""","And she said, ""Oh, good. Now buy me a beer and tell me all about it.""",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","And one day I'm walking toward the campus center and out comes the elusive Dean McGowan, architect of a policy to replace Fordham's traditionally working- to middle-class students with wealthier, more prestigious ones.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","So I whip out my notebook and I go up to him and I say, ""Dean McGowan, is it true that Fordham University plans to raise tuition substantially above the inflation rate, and if so, wouldn't that be a betrayal of its mission?""",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","And he stops and looks at me and he says, ""Listen up, punk.""",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","And right then, there's a blur in the corner of my eye which becomes this figure holding a cream pie which becomes the guy standing next to me mashing a cream pie into Dean McGowan's face.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",And then runs away.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",And the Dean is covered with cream.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","So I give him a moment, and then I say, ""Dean McGowan, would you care to comment on this latest attack?""",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","And the Dean says, ""Yes, I would care to comment. Fuck you.""",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","So I race back to the newsroom with my scoop and I find the editor, Jim Dwyer, who's a senior, and he will go on to win a Pulitzer Prize, that is true, and he's a big guy.",7,"could also be a 6 because of missing pulitzer details, but then we need to think abt ""details captured"" vs ""salient details captured"""
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","I pitch him my story, I tell him what I've seen, and he says, ""Dean McGowan, that guy's a dick. Write it up.""",8,"technically he didn't say to write it ""now"" but still, 8 feels fair"
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","So I'm banging out my story and I know it's good, and then I start to make it better, by adding an element of embellishment.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","Reporters call this ""making shit up.""",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",And they recommend against crossing that line.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","But I had just seen the line crossed between a high-powered dean and assault with a pastry, and I kind of liked it.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",So the first I did was I gave the figure a name.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","I called him ""Pie Man,"" capital ""P,"" capital ""M."" And I described him as a cape-wearing, masked avenger.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",Though in fact he'd been capeless.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","And said that as he fled the scene, he clicked his heels in rakish glee.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",And I gave him a catchphrase in Latin.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","I said that he cried out, ""Ego sum non an bestia,"" which means ""I am not an animal.""",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",Which makes no sense.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",I needed something.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","I'm Catholic, Latin just comes to me.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","So I finish my story and I hand it to Dwyer, and he reads and he says, ""Pie Man? I love it. Page one.""",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",And that's how the first line got crossed.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","A few days later, I get a letter.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","It says, ""Dear Jim, good story. Nice details. If you want to see me again in action, be on the steps of Duane Library Tuesday at 3 o'clock,"" signed Pie Man.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",So I was there with a photographer from the Ram.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","And sure enough, out comes Sheila Beale, student-body president.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",And now Sheila was different from me and all the other Fordham students who wore flannel shirts and worked part-time jobs.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",Sheila was well-bred.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",Sheila had school spirit.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",Sheila was the kind of student that Dean McGown wanted more of.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",Although rumor had it that he got plenty of her in his office on his desk.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","But that's just a rumor, please do not spread it outside this rumor.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",I myself would never say that.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","But the fact was, Sheila had collaborated with the Dean to ban outdoor drinking on campus.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","The infamous ""no more beer at barbecues"" rule.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","That's right, boo that rule.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",Sheila thought drinking in public was in poor taste.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",I think you know what happened next.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","Pie Man emerged from behind the late-night library drop-box, made his delivery, and fled away, crying, ""Ego sum non an bestia.""",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","Or at least that's what it said in my story in the newspaper the next day, which ran with a photo of him leaving the scene, cape flowing behind him, doing this.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",And that's what made him a sensation on campus.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",People started dressing like him and quoting him in class.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","The Ram ran five major stories about Pie Man, all of them by me.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","And toward the end of this run, I was out at a bar one night, and I saw, I came and I saw in the corner Angela from my Brit Lit class, drinking with some friends.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",And now Angela and I had been flirting for two months.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","Or I had been flirting with her, and with such nuance that there was a question about whether she knew I existed.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","So I, I saw her there and made a mental note to do nothing about it.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",And then I went to the bar to buy a round and I felt a tap on my shoulder.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",And it was her.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","And she said, ""Jim, we were just talking about how you always seem to know when and where Pie Man will strike. And we were wondering, are you Pie Man?""",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","And I knew by the way she said it, I knew that if I said yes, she would have sex with me.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",And wasn't I really Pie Man?,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",For having brought him into being.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",Didn't she only know about him through me?,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.",But she had asked me a straightforward question that came with a straightforward answer.,0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","In fact, I wasn't Pie Man.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","As far as I knew, I had never seen the guy out of costume.",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","So I looked at her and I said, ""Yes, Angela. I am Pie Man.""",0,
"So, then the guy, the journalism, he runs to his place, I guess, and runs the story by his editor, and his editor hates the dean and basically said to write up the story right now.","And she said, ""Oh, good. Now buy me a beer and tell me all about it.""",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","I began my illustrious career in journalism in the Bronx where I toiled as a hard-boiled reporter for the Ram, the student newspaper at Fordham University.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","And one day I'm walking toward the campus center and out comes the elusive Dean McGowan, architect of a policy to replace Fordham's traditionally working- to middle-class students with wealthier, more prestigious ones.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","So I whip out my notebook and I go up to him and I say, ""Dean McGowan, is it true that Fordham University plans to raise tuition substantially above the inflation rate, and if so, wouldn't that be a betrayal of its mission?""",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","And he stops and looks at me and he says, ""Listen up, punk.""",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","And right then, there's a blur in the corner of my eye which becomes this figure holding a cream pie which becomes the guy standing next to me mashing a cream pie into Dean McGowan's face.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",And then runs away.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",And the Dean is covered with cream.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","So I give him a moment, and then I say, ""Dean McGowan, would you care to comment on this latest attack?""",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","And the Dean says, ""Yes, I would care to comment. Fuck you.""",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","So I race back to the newsroom with my scoop and I find the editor, Jim Dwyer, who's a senior, and he will go on to win a Pulitzer Prize, that is true, and he's a big guy.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","I pitch him my story, I tell him what I've seen, and he says, ""Dean McGowan, that guy's a dick. Write it up.""",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","So I'm banging out my story and I know it's good, and then I start to make it better, by adding an element of embellishment.",8,"could be 7 because not specified as embellishment, but feels fair"
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","Reporters call this ""making shit up.""",-1,"what to do with this, it's rhetorical"
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",And they recommend against crossing that line.,0,rhetorical again
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","But I had just seen the line crossed between a high-powered dean and assault with a pastry, and I kind of liked it.",0,rhetorical again
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",So the first I did was I gave the figure a name.,8,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","I called him ""Pie Man,"" capital ""P,"" capital ""M."" And I described him as a cape-wearing, masked avenger.",7,missing the mask so 7?
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",Though in fact he'd been capeless.,-1,"again, clearly implied issue with narrative devices"
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","And said that as he fled the scene, he clicked his heels in rakish glee.",7,is 8 fair here?
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",And I gave him a catchphrase in Latin.,8,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","I said that he cried out, ""Ego sum non an bestia,"" which means ""I am not an animal.""",5,should it be higher?
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",Which makes no sense.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",I needed something.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","I'm Catholic, Latin just comes to me.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","So I finish my story and I hand it to Dwyer, and he reads and he says, ""Pie Man? I love it. Page one.""",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",And that's how the first line got crossed.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","A few days later, I get a letter.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","It says, ""Dear Jim, good story. Nice details. If you want to see me again in action, be on the steps of Duane Library Tuesday at 3 o'clock,"" signed Pie Man.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",So I was there with a photographer from the Ram.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","And sure enough, out comes Sheila Beale, student-body president.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",And now Sheila was different from me and all the other Fordham students who wore flannel shirts and worked part-time jobs.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",Sheila was well-bred.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",Sheila had school spirit.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",Sheila was the kind of student that Dean McGown wanted more of.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",Although rumor had it that he got plenty of her in his office on his desk.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","But that's just a rumor, please do not spread it outside this rumor.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",I myself would never say that.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","But the fact was, Sheila had collaborated with the Dean to ban outdoor drinking on campus.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","The infamous ""no more beer at barbecues"" rule.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","That's right, boo that rule.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",Sheila thought drinking in public was in poor taste.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",I think you know what happened next.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","Pie Man emerged from behind the late-night library drop-box, made his delivery, and fled away, crying, ""Ego sum non an bestia.""",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","Or at least that's what it said in my story in the newspaper the next day, which ran with a photo of him leaving the scene, cape flowing behind him, doing this.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",And that's what made him a sensation on campus.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",People started dressing like him and quoting him in class.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","The Ram ran five major stories about Pie Man, all of them by me.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","And toward the end of this run, I was out at a bar one night, and I saw, I came and I saw in the corner Angela from my Brit Lit class, drinking with some friends.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""",And now Angela and I had been flirting for two months.,0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","Or I had been flirting with her, and with such nuance that there was a question about whether she knew I existed.",0,
"So, the guy starts writing up the story and when he's writing up the story, he starts to add some fake, not true parts to the story, and he basically gave the name to the guy with the pie, and he was Pie Man, PM, and he was wearing a cape, and as he was leaving, he did something with his feet and he said something in Latin and it meant like, ""I'm not an animal.""","So I, I saw her there and made a mental note to do nothing about it.",0,
